reference	quantity	Part number	Function	Value	TolN	TolP
R70,R72,R75,R80,R97,R98,R99,R130,R131,R157,R159,R194,R195	13	RC0402JR-070RL	RESISTOR	0Ω	5	5
R76,R77,R264,R265,R266,R267,R268,R269	8	CRCW04022K20FKED	RESISTOR	2.2K	1	1
R79,R128,R129,R145,R160,R263	6	CRCW06030000Z0EA	RESISTOR		5	5
R81,R88,R89,R254	4	CRCW040249K9FKED	RESISTOR	9.9K	1	1
R82,R138,R141	3	P0402H1503BBT	RESISTOR	150k	0.1	0.1
R87,R161,R162,R163,R164	5	CRCW04024K75FKED	RESISTOR	4.75K	1	1
R96,R133,R150,R151,R152,R258	6	CRCW04021K00FKED	RESISTOR	1k	1	1
R101	1	CRCW04026K04FK	RESISTOR	6.04K	1	1
R103,R104	2	RC0402FR-07240RL	RESISTOR	0Ω	1	1
R110	1	PCF-W0402LF-03-4991B	RESISTOR		0.1	0.1
R111,R112	2	CRCW040249R9FKED	RESISTOR	9.9Ω	1	1
R113	1	CRCW04021K50FKED	RESISTOR	1.5K	1	1
R132,R142,R143,R154	4	P0402E2001BBT	RESISTOR	2k	0.1	0.1
R153	1	CRCW0402300RFKEDHP	RESISTOR	0Ω	1	1
R155	1	CRCW04022701FKET7-E3	RESISTOR		1	1
R156	1	CRCW04029091FRT1	RESISTOR		1	1
R165,R166,R167,R168,R169,R170,R171,R172,R173,R174,R175,R176,R177,R178,R179,R180,R181,R182,R183,R184,R185,R186,R187,R188,R190,R191,R270	27	CRCW040239R2FRT1	RESISTOR	9.2Ω	1	1
R192	1	CRCW060300R0FKEAHP	RESISTOR		0.01	0.01
R196	1	TNPW0402100KBEED	RESISTOR	100k	0.1	0.1
R197	1	CRT0402-BY-3001GLF	RESISTOR	3k	0.1	0.1
R198	1	CR0402-FX-5102E	RESISTOR	51k	1	1
R199,R200,R201	3	CRCW040215K0FKED	RESISTOR	15K	1	1
R202	1	TNPW04021K00BEED	RESISTOR	1k	0.1	0.1
R256	1	CRCW0402267KFK	RESISTOR	267k	1	1
SW1	1	7914G-1-000E	JUMPER			
T1,T2	2	IC 5401/I	TRANSFORMER			
T3	1	744233121	TRANSFORMER	4500MΩ		
U1	1	LFSPXO076034	Digital			
U2	1	MAX3227EEUE	DIGITAL			
U3	1	MT40A512M16TD062EAAT	DIGITAL	3200MΩ		
U4	1	SDINBDG4-16G-ZA2	DIGITAL	16000MΩ		
U5	1	MT25QL128ABA1EW9-0SI	DIGITAL	133mH		
U6	1	MPM54304GMN-0001	DIGITAL			
U7	1	TPS54A24RTWR	DIGITAL			
U8	1	511JCA125M000CAGR	Digital			
U9	1	TPS65295RJET	DIGITAL			
U10	1	MVDX1508A0FT170AAI00	DIGITAL	10000MΩ		
U11	1	TPS82130SILR	DIGITAL			
U12	1	TPS2051BDBVR	DIGITAL			
U13	1	TPS3808G33MDBVREP	DIGITAL			
U18,U19	2	SN74AHC1G08DBVR	DIGITAL			
